,SHAPE
200,16.373144999802015 48.212727995615936
201,16.372650755580416 48.210430117506036
202,16.357183387735418 48.20973476753282
203,16.36578714083929 48.21379591451906
204,16.372228573715244 48.20416404391073
205,16.376895205834455 48.20542504290842
206,16.36291002472781 48.21023027169974
207,16.371616138749328 48.201578051873554
208,16.356330175748187 48.209288946921085
209,16.36848941436222 48.2149580977617
210,16.37017091617832 48.21599479896538
211,16.373258562519716 48.2013802307194
212,16.3566026883161 48.20773765829253
213,16.35678250297641 48.209572692524375
214,16.35631196230336 48.208477851706895
215,16.373808562325078 48.20548068476307
216,16.363996868322193 48.20269989809546
217,16.372683530289205 48.21073021071916
218,16.372568269765445 48.20435126565523
219,16.36891039058318 48.215061670213274
220,16.359166923850612 48.20798826382945
221,16.359492739433165 48.21054191235804
222,16.36453338420014 48.21123559347677
223,16.373751360173586 48.2017736952247
224,16.373621987716383 48.20551977634892
225,16.37311719154445 48.21222978054627
226,16.37275760333723 48.204035363384406
227,16.373136336435124 48.2094813576786
228,16.367798992038992 48.21672905266244
229,16.38119509899025 48.20997283856912
230,16.3799241709026 48.206842070432515
231,16.373158596664464 48.2037781185834
232,16.372812212857315 48.20232402462929
233,16.372143637809913 48.20966522448698
234,16.369259876125994 48.21531239064241
235,16.371780068379447 48.205780043377395
236,16.371020678427723 48.20171169365911
237,16.368673234020196 48.207750163862926
238,16.372538492546973 48.20960286706048
239,16.374703268739882 48.20534656889081
240,16.372334903286117 48.20995897283373
241,16.371928499809343 48.21507713776025
242,16.37641716176016 48.20521036327658
243,16.374703268739882 48.20534656889081
244,16.36609524891473 48.20243919623747
245,16.379439430072065 48.20729876078818
246,16.358242826789912 48.20599608689519
247,16.377096276392084 48.206190384721516
248,16.372377148002442 48.2044241711996
249,16.366496229191583 48.20235212650565
250,16.3700616569323 48.20215552679232
251,16.3631557600417 48.2103207758934
252,16.369637823065222 48.2158690506512
253,16.369498796434705 48.215421678969136
254,16.37107540387091 48.204638613002274
255,16.3725158826506 48.204086072002596
256,16.369849128172927 48.202195609190575
257,16.37427931953785 48.21183684702552
258,16.375917377023985 48.2041918746578
259,16.359447721777162 48.20622085929613
260,16.372589549496976 48.212535268674664
261,16.374307216006354 48.20501655980165
262,16.3708203490897 48.21602931863646
263,16.35809808494568 48.205417490616185
264,16.37113090835745 48.210476725429
265,16.366456766342626 48.209339601948955
266,16.372611602982744 48.209863916993825
267,16.37152997344733 48.20050302756772
268,16.371396212424024 48.20455487804748
269,16.3680143893 48.20690435612347
270,16.36729226768712 48.20195827984723
271,16.373298052510165 48.20221487065361
272,16.366824106814107 48.21118482261982
273,16.370331597687777 48.201866314471246
274,16.37167009410023 48.21131616665233
275,16.37336278204921 48.20558569098361
276,16.368929032012183 48.20779937402456
277,16.37674036763236 48.205783117958426
278,16.371209808080657 48.202279648501566
279,16.365396522820404 48.21333556217902
280,16.369176903915765 48.20807557477815
281,16.36379399826749 48.21069690027337
282,16.37256251157296 48.2127359158294
283,16.375824572923886 48.20561625375231
284,16.37081719642954 48.20090073038174
285,16.35712854210694 48.20952820335125
286,16.3745765408202 48.204815021810326
287,16.358347311658132 48.20556565106262
288,16.372059624052916 48.20208333366506
289,16.36729226768712 48.20195827984723
290,16.371929493184393 48.205749383114295
291,16.370013634273462 48.213992147630414
292,16.364564093532252 48.202784745224385
293,16.37029424625449 48.20234206742286
294,16.365261497670485 48.2122435434448
295,16.36757573905985 48.20660824019023
296,16.368741466906965 48.20184645180274
297,16.369372651256743 48.20846942138046
298,16.362579571523735 48.20422161716386
299,16.374299785909045 48.21167487244001
300,16.37355466028318 48.210294205529536
301,16.365261497670485 48.2122435434448
302,16.382175534373275 48.21024719287957
303,16.36830379979584 48.21487271436195
304,16.369831766171128 48.20197860765011
305,16.366701805852454 48.21097045694711
306,16.368299989114643 48.20754937563721
307,16.371669013950825 48.21014399120326
308,16.37412869240581 48.20538803912592
309,16.372144573301746 48.21099945782375
310,16.372835942147955 48.21113582993754
311,16.36872344849756 48.20716109365047
312,16.356705814758442 48.209918855217055
313,16.37238675138909 48.2041157904443
314,16.373293453413936 48.21017720217064
315,16.372543891492153 48.20450217971083
316,16.359183952673856 48.20605966399498
317,16.372988923160943 48.206739821854505
318,16.369716823738838 48.20847894409924
319,16.378317230436362 48.20554944579929
320,16.366589494366846 48.20876741829081
321,16.37031693006733 48.21568806836279
322,16.372511903538676 48.21081534097939
323,16.37208055920266 48.20797002243137
324,16.368448134622184 48.208164095359685
325,16.370661153951424 48.202754416066405
326,16.368396854658485 48.217129983435655
327,16.37756651226966 48.20488296112735
328,16.373029830351374 48.20468899394082
329,16.36948132727272 48.2053048549169
330,16.364219872963833 48.20286181187374
331,16.37240702102495 48.2160542797397
332,16.37262912311441 48.21122989106742
333,16.37908684270674 48.20787166052319
334,16.370026802924112 48.201934753284256
335,16.363548538753854 48.20306207325917
336,16.366539227598608 48.20953940947416
337,16.373790026368646 48.20533832809314
338,16.37068589349499 48.202467577694115
339,16.373719156358973 48.20372568603059
340,16.36861163782529 48.20736347277651
341,16.365553864667625 48.21012368540672
342,16.37681427011508 48.21059158675802
343,16.366699469197602 48.209079004137514
344,16.36631603074315 48.20911220049102
345,16.378115698578526 48.210164930334976
346,16.367455382084295 48.202210707852096
347,16.367986185338943 48.20221106922261
348,16.378115698578526 48.210164930334976
349,16.35743258381238 48.208467127476524
350,16.357045368947105 48.21376833931169
351,16.369420787218157 48.20260807357271
352,16.3752971197848 48.20535347276744
353,16.359093332986465 48.206493605139414
354,16.36876844885188 48.20874325815265
355,16.37903784497737 48.21106445111508
356,16.369762755087102 48.202392406346995
357,16.36455602966732 48.2023127825667
358,16.36312869290097 48.21514123428874
359,16.363215774889614 48.201910479231664
360,16.36943662585068 48.21458811642159
361,16.36086069578922 48.21301871722258
362,16.357155177061713 48.20918600653284
363,16.37499726469923 48.20521220103509
364,16.371096033265875 48.20944944083131
365,16.37433414340289 48.21246077799948
366,16.365236225533813 48.20163137522634
367,16.37101923703265 48.20910404723458
368,16.35743258381238 48.208467127476524
369,16.37508330791702 48.21293950514896
370,16.361326798575025 48.20258998746958
371,16.369394447352363 48.20223567157921
372,16.365236225533813 48.20163137522634
373,16.37137906502448 48.2119415130911
374,16.365236225533813 48.20163137522634
375,16.366589583424073 48.20569551275561
376,16.358773043260165 48.21301626947852
377,16.35624190932991 48.20824916640453
378,16.369766314517413 48.20906204995998
379,16.375114318335918 48.211426206549376
380,16.367208422254404 48.2025684931531
381,16.376967897720085 48.210724092300495
382,16.374061179369825 48.20414573725467
383,16.363499079755766 48.20163755753995
384,16.356279983911406 48.213047220406956
385,16.37101923703265 48.20910404723458
386,16.378291155993473 48.2059612254105
387,16.36888505670855 48.20888630710665
388,16.366969222900863 48.20323135849123
389,16.35577779283763 48.209466478834486
390,16.37807292934536 48.20623167120182
391,16.376012488646236 48.20591997982361
392,16.36238543512131 48.21026852392867
393,16.377815599458117 48.20993292459673
394,16.367743793901443 48.20313312193474
395,16.35598318041357 48.20894573620885
396,16.355916007053025 48.209903435578084
397,16.364267646408653 48.21074984530933
398,16.367385430136114 48.21018967275854
399,16.36413876257338 48.20245089416971
400,16.355442060357213 48.20793903743719
401,16.363556920053163 48.20994179666776
402,16.370175532450737 48.20083150972335
403,16.35577779283763 48.209466478834486
404,16.378481280446113 48.205881310096174
405,16.377310997388616 48.2107174948065
406,16.378641668391115 48.210021475111134
407,16.368224100412768 48.2079199022526
408,16.36921209232206 48.202338067144204
409,16.373908262440192 48.20018570890645
410,16.37146199748467 48.207094364380026
411,16.368376293576155 48.20838732724915
412,16.373720162410113 48.21300659860444
413,16.375075127538267 48.212443532222196
414,16.35554384067272 48.20882386318178
415,16.36858630210699 48.20218634986176
416,16.371978657124338 48.20891086463695
417,16.369691162035004 48.202562309363984
418,16.370739829805185 48.213707576780266
419,16.366487439130353 48.202730204169974
420,16.3737310612562 48.213557609144786
421,16.374109381888744 48.21347978344866
422,16.37008781457998 48.214863657751145
423,16.36757155428879 48.206976609113255
424,16.355519431507595 48.20974396346176
425,16.375751364674567 48.21152131685981
426,16.35554384067272 48.20882386318178
427,16.355909355133427 48.20870185283346
428,16.363667159309113 48.203748497967226
429,16.35961027429308 48.206579116211486
430,16.37562255825896 48.21077042768556
431,16.373570437879273 48.21342699019554
432,16.374829984389915 48.21175167711636
433,16.37238845106893 48.21605428559734
434,16.369677177429345 48.2149332958077
435,16.356815462276785 48.20621911469269
436,16.37409212076469 48.21121512800528
437,16.368859516396082 48.202169691592566
438,16.365043038160263 48.20305442262804
439,16.364762009735948 48.21030806640776
440,16.378151291178998 48.21123915700337
441,16.375001300084477 48.205744688484415
442,16.36439764164146 48.20320459016048
443,16.373431986699423 48.20343430906231
444,16.369440526751156 48.21375615337407
445,16.37423535144031 48.20480506298475
446,16.37386060355513 48.20398158693591
447,16.36189692271183 48.20256494986866
448,16.369773876370555 48.21326745062575
449,16.371891415660187 48.20916546015024
450,16.36132678393297 48.2025601299531
451,16.35633890755892 48.21335783561202
452,16.356937736388648 48.20815785133416
453,16.368112107681547 48.20805177407037
454,16.35611217741356 48.21231987863073
455,16.369684502636215 48.2022530341579
456,16.36167366556676 48.21405374807325
457,16.369773876370555 48.21326745062575
458,16.378067477786498 48.21141950156976
459,16.361676444854268 48.214055014599154
460,16.355923595097842 48.208295896454516
461,16.373524340873306 48.204078553846614
462,16.37048058719026 48.209210496680114
463,16.371903029621542 48.21560225915162
464,16.35719585600431 48.20765715175019
465,16.37118649475305 48.20715029662045
466,16.378368997598937 48.2100947803961
467,16.374092463685404 48.21316457695462
468,16.369652123268047 48.21468787842378
469,16.35704205205931 48.20892666273833
470,16.35719585600431 48.20765715175019
471,16.355576792621164 48.208959687593925
472,16.36997326668351 48.21353923441936
473,16.374289681507193 48.21328744887853
474,16.368857680894997 48.21470015820571
475,16.363872168492986 48.21044066470669
476,16.36997326668351 48.21353923441936
477,16.36827048934676 48.208263387138174
478,16.361695741455694 48.214070020878225
479,16.355527110146287 48.20834353815897
480,16.369739970616052 48.202523084628005
481,16.36973660373309 48.202311834660264
482,16.36675138797577 48.20679471233266
483,16.37000787470719 48.213151074501305
484,16.380468667414096 48.206853552927726
485,16.3744658679021 48.20047338421103
486,16.378459029852188 48.21028081694415
487,16.37414060823352 48.2007636273587
488,16.377138366630472 48.2105465954679
489,16.37000787470719 48.213151074501305
490,16.37546816467297 48.21191729540909
491,16.37757085213858 48.2094290331497
492,16.3744658679021 48.20047338421103
493,16.367366709357803 48.20314311755299
494,16.357308224370843 48.2080441993188
495,16.367952626723657 48.2060222280152
496,16.357308224370843 48.2080441993188
497,16.36697870129062 48.20960665160159
498,16.361635838667354 48.214022280232875
499,16.373356925234688 48.210313788600835
500,16.383836493353378 48.21105473603595
501,16.371705935969132 48.2092527519111
502,16.357468116131972 48.20914484987346
503,16.370140246636065 48.213402764420174
504,16.372488204128288 48.20055631920291
505,16.357943206590416 48.20757382509989
506,16.374901071082693 48.21091654320813
507,16.369905197023378 48.215042136816685
508,16.370509237420222 48.213823642199614
509,16.355867813169443 48.20843664993241
510,16.37489778816984 48.20116827769203
511,16.37361167258928 48.21055904078271
512,16.370140246636065 48.213402764420174
513,16.373729372518337 48.20996419099147
514,16.36811632115897 48.20764268658264
515,16.374359419676725 48.21116826482567
516,16.379813230653934 48.2111795420845
517,16.37394090378525 48.210357305067504
518,16.366048838404712 48.20105658912133
519,16.369756213012728 48.202468580910995
520,16.370972503442488 48.21514352073699
521,16.368855642824272 48.20854511274549
522,16.37127816272865 48.211843001735694
523,16.37486381251065 48.201297044332556
524,16.375754695975527 48.20589776576484
525,16.37575369191824 48.20581700696156
526,16.35869757779739 48.21275781938485
527,16.366048838404712 48.20105658912133
528,16.361659542746942 48.21406571218031
529,16.37758907865477 48.20633922578045
530,16.374464598202742 48.20047546656765
531,16.37762704873376 48.21037348057428
532,16.384048665735243 48.21103774055701
533,16.37762704873376 48.21037348057428
534,16.35657717287793 48.20887170785095
535,16.36963663765494 48.213845938570266
536,16.357250962519117 48.20784797778329
537,16.37526805921839 48.21119600265261
538,16.374791131270978 48.21161661210432
539,16.376791541182072 48.21077433695149
540,16.373810256439103 48.21329282306078
541,16.378506493016456 48.20603637186035
542,16.369496259331825 48.20240237654796
543,16.37583365554171 48.21092719666742
544,16.36961130903288 48.202237767006075
545,16.37391037057496 48.212382587141846
546,16.366749257265997 48.20096233552128
547,16.378796215841604 48.211095747494355
548,16.37046239342874 48.21339297669211
549,16.3744480138993 48.204573596611
550,16.356079580819113 48.20772794763557
551,16.366884251181865 48.20264412344494
552,16.373511406612593 48.20072408357291
553,16.37458836122635 48.20856402249618
554,16.35683738392483 48.2085351350197
555,16.355495402462893 48.208680280218125
556,16.367636965690735 48.20772275338681
557,16.369199090706445 48.202412175093
558,16.368667573536758 48.208372136577125
559,16.370958880087816 48.21552808526623
560,16.373297189031017 48.200277279317824
561,16.377135352375365 48.2091304345806
562,16.37556336544019 48.21130878188932
563,16.37118452279289 48.21536616501693
564,16.36291002472781 48.21023027169974
565,16.3751316339312 48.208536050440905
566,16.37178098044657 48.20901162047573
567,16.36753313268828 48.20249645909039
568,16.370437412012368 48.215476710962996
569,16.365404748331624 48.20297833831988
570,16.356330175748187 48.209288946921085
571,16.371493462707278 48.207264416527686
572,16.373158596664464 48.2037781185834
573,16.37150783363344 48.21577449435096
574,16.35631196230336 48.208477851706895
575,16.370601760715356 48.214944983288255
576,16.3566026883161 48.20773765829253
577,16.359166923850612 48.20798826382945
578,16.36950554377985 48.202612455681944
579,16.359166923850612 48.20798826382945
580,16.383906696896968 48.21145373585014
581,16.369515908025953 48.20113639563687
582,16.380407689201714 48.204007580611695
583,16.37216606928916 48.20903560224929
584,16.369589087544067 48.20240711598214
585,16.377935364485328 48.210614477015916
586,16.36990317979747 48.20092368074095
587,16.377251909870605 48.202457330907
588,16.37567288479238 48.20063846436772
589,16.368854784380183 48.2027622001433
590,16.371417706287662 48.21547641427676
591,16.37567288479238 48.20063846436772
592,16.374703268739882 48.20534656889081
593,16.377096276392084 48.206190384721516
594,16.358839593029682 48.20619436107902
595,16.366570981262907 48.20136608900374
596,16.364242129950107 48.21010045138704
597,16.356539150024627 48.212054593761735
598,16.376479013902564 48.21081878360954
599,16.355765707601726 48.20776946041409
600,16.377229203907824 48.210902514526865
601,16.3631557600417 48.2103207758934
602,16.377096276392084 48.206190384721516
603,16.36729226768712 48.20195827984723
604,16.366972412209726 48.20323064357342
605,16.37674036763236 48.205783117958426
606,16.37081719642954 48.20090073038174
607,16.37152997344733 48.20050302756772
608,16.374307216006354 48.20501655980165
609,16.37518337372153 48.20102372186642
610,16.376482344503863 48.210605283489485
611,16.362182266476662 48.20231244562683
612,16.371219746472907 48.21564842500898
613,16.36255613059781 48.20991334268236
614,16.3745765408202 48.204815021810326
615,16.356266097436613 48.21263488403817
616,16.361655958016627 48.20956038240018
617,16.36757573905985 48.20660824019023
618,16.37355466028318 48.210294205529536
619,16.369208956207935 48.20248186978025
620,16.35665871207115 48.214268881180054
621,16.36166810699218 48.21405121502121
622,16.375824572923886 48.20561625375231
623,16.368560462396907 48.208563902281526
624,16.377532091722646 48.2105842258705
625,16.365230687677347 48.21014247354948
626,16.36938469129473 48.21480522753964
627,16.373925028541557 48.213650895083006
628,16.378690122818607 48.2032211419958
629,16.367317446945716 48.20598463052812
630,16.375532983877132 48.20573155725452
631,16.3590024020234 48.21378604301231
632,16.358918716361583 48.21350538150065
633,16.368741466906965 48.20184645180274
634,16.368005189979307 48.203136647053405
635,16.366682109869966 48.20618545701194
636,16.362716473353814 48.202037939907655
637,16.378317230436362 48.20554944579929
638,16.364204115896097 48.201599615979084
639,16.36962010228955 48.20110949445806
640,16.366247335438494 48.20278548573948
641,16.378317230436362 48.20554944579929
642,16.377046237585386 48.20637152605346
643,16.35751504173587 48.20874662142645
644,16.374092458236646 48.20460060430592
645,16.373029830351374 48.20468899394082
646,16.37784045319986 48.202595434757605
647,16.35751504173587 48.20874662142645
648,16.368448134622184 48.208164095359685
649,16.375070087528545 48.21129761856216
650,16.37237082002083 48.216049974416336
651,16.362426237263275 48.202186035213785
652,16.379615773136607 48.20474011133724
653,16.36167717221522 48.21407002500569
654,16.376215429713273 48.206165694044294
655,16.37662966857364 48.201549145636996
656,16.36927733645546 48.20254282417847
657,16.371509687287585 48.20913805900014
658,16.36922534295375 48.21434518089324
659,16.366744065444156 48.21011874494838
660,16.36937967919442 48.209349675615854
661,16.37127783514946 48.2151531755428
662,16.36472921621836 48.203123748974164
663,16.367781515788117 48.205534214789864
664,16.368463579817515 48.2145328161409
665,16.376056969536577 48.21052764067457
666,16.37019160305279 48.215331723589735
667,16.369603200970168 48.20259498042749
668,16.37118069976795 48.21510776071123
669,16.36438680388724 48.21065035111676
670,16.369831665901145 48.214745472411465
671,16.36650214933086 48.20349147703581
672,16.369365341268548 48.20257760256822
673,16.37585384441342 48.207803485267235
674,16.373719156358973 48.20372568603059
675,16.377775285837007 48.2094980271973
676,16.37319482047292 48.2158303242282
677,16.36996697440704 48.20832229879651
678,16.377108522420855 48.20990458035363
679,16.376204431518204 48.21000346469364
680,16.375922382961285 48.20839683423761
681,16.36847291779687 48.21397640357986
682,16.36874696485969 48.21198981545096
683,16.36930326081197 48.20227275003065
684,16.370801032440983 48.20834543267867
685,16.37903784497737 48.21106445111508
686,16.363623580443644 48.20376667471491
687,16.376834628480303 48.20809677086626
688,16.37104764517714 48.20488790285341
689,16.378866880469413 48.20869992812353
690,16.35794898723446 48.21231414880966
691,16.381616744695403 48.211153481843276
692,16.380647244970987 48.21062784811828
693,16.362251899054773 48.213481452071136
694,16.37281531282416 48.213447558272726
695,16.367095253896416 48.2035115293072
696,16.371714071361453 48.20640828993646
697,16.36978149577709 48.2038930108836
698,16.37584636344651 48.20474021619675
699,16.374385532423148 48.20377393972715
700,16.36991449015502 48.20891802508209
701,16.37499726469923 48.20521220103509
702,16.37312887966514 48.20125227366939
703,16.36809640176639 48.213081774250426
704,16.363512863885052 48.20352154576484
705,16.369766314517413 48.20906204995998
706,16.372729659460393 48.21315431692563
707,16.37371400273844 48.21157649978576
708,16.36295192440373 48.204150664278856
709,16.373974951512345 48.20360904989167
710,16.36991449015502 48.20891802508209
711,16.368979447040548 48.21215702304325
712,16.370721425361037 48.20527094917044
713,16.374385532423148 48.20377393972715
714,16.3707024584508 48.208615618678735
715,16.376276282874226 48.2093176168386
716,16.373974951512345 48.20360904989167
717,16.3707024584508 48.208615618678735
718,16.371230027695663 48.20686771630604
719,16.364693930648283 48.20934589900623
720,16.378069445419722 48.2093800191816
721,16.36888505670855 48.20888630710665
722,16.37305064232082 48.21305564869283
723,16.36968584287064 48.2014213398538
724,16.367826057299283 48.20362650012694
725,16.37170559739385 48.20623831434898
726,16.357473670787652 48.212474946749715
727,16.36852142165042 48.201273015700984
728,16.373367333711368 48.21162366508495
729,16.3737310612562 48.213557609144786
730,16.374109381888744 48.21347978344866
731,16.371539499188607 48.20749318990936
732,16.375238391340748 48.2042006511887
733,16.372020195483003 48.20148871360425
734,16.35839499285527 48.213452783889835
735,16.376615308213676 48.209334474456675
736,16.371046646808395 48.20488575557441
737,16.368957660692423 48.209438200220035
738,16.378641668391115 48.210021475111134
739,16.370191710757663 48.20250820278739
740,16.372792217369852 48.21332705659992
741,16.3737310612562 48.213557609144786
742,16.374109381888744 48.21347978344866
743,16.377421833957598 48.2066589051043
744,16.37366626620522 48.215417335352036
745,16.373570437879273 48.21342699019554
746,16.373570437879273 48.21342699019554
747,16.372056233251413 48.212432374332074
748,16.376727328532127 48.21005319360296
749,16.373431986699423 48.20343430906231
750,16.37146199748467 48.207094364380026
751,16.370666783211064 48.207984485229275
752,16.363556920053163 48.20994179666776
753,16.37660515791883 48.20817500296148
754,16.36946431516854 48.20396756719937
755,16.371977343464728 48.212181848024834
756,16.371977343464728 48.212181848024834
757,16.3673020811919 48.2130327095453
758,16.37474107568456 48.20427528319153
759,16.374887823761014 48.20816057602791
760,16.372121993722654 48.212571388842655
761,16.372114405875948 48.21278421560375
762,16.35783552984881 48.21193087951128
763,16.372056233251413 48.212432374332074
764,16.371707981339135 48.20657232190854
765,16.369475251142656 48.20464916063768
766,16.378674124413383 48.209732421096405
767,16.35783552984881 48.21193087951128
768,16.37773368865004 48.20648072687167
769,16.374164920345205 48.212161899684496
770,16.37690210330847 48.20970833180004
771,16.37652280152645 48.20986656644806
772,16.37166501601051 48.212757164394354
773,16.355658681408737 48.2104315612673
774,16.371047159982005 48.20786566162776
775,16.35783552984881 48.21193087951128
776,16.372114405875948 48.21278421560375
